Unnamed: 0,word
3, بَھلے دِن
6, بِھن بِھن
0, نَر کَٹَیّا پُوت بَھگْتَیّا بات حرفدیگر
1,
3, اڑانا قدیمامذ
5, بَھنڈا ر پَن
1, چَہْلا کَرْنا
2, چَہْلا ہونا
3, چیب دار
4, چیپا کھانا
5, چار
6, تِرَن کَر
7, تِرَن مانَس
8, تِرَن نِیب
9, اِجابَت کرنا
10, اِجابَت ہونا
11, اِجارَہ دار
12, اِجارَہ کَرنا
13, اِجارَہ لَگانا
14, اِجارَہ لینا
15, بد
16, بد سالا سَلا امذ
17, بَد
18, بِد
19, بُد بَل
20, بُد پَتی
21, بُد پَن
22, بُد وَنْت
23, بَدا
24, بَدا
25, بَدّا
26, بِدا
27, بِدا دینا قدیم
28, بَدا بَدی
29, بُھجَن٘گا
30, باتَر
31, باتِر
32, بَھدْرا ہونا
33, بَھدرَک
34, بَھدَئی
35, بَھدیس بَھدیسا بَھدیسل بَھدیسلا پَن امذ
36, بھر
37, بھر
38, باپ باپُت پُوت پِتا پَر گھوڑا بَہُت نَہیں تو تھوڑا تھوڑا
39, باپ باپَت پُوت پَراپَت گھوڑا گُچھ نَہیں تو تھوڑا تھوڑا
40, بات اَٹَکْنا
41, بُھو سیہْرا
42, بات اُٹھا رَکْھنا
43, بُھوِشْت
44, بُھوشَک
45, بات اُٹھانا
46, بات اُٹھا نَہ رَکْھنا
47, بات اُٹْھنا
48, بُھوک کی جھان٘ج نِکَل جانا
49, بُھوک کی جھان٘جھ
50, بُھوک کے مارے آچار نِکَلْنا
51, بُھوک کُھلْنا
52, بُھوک کھین٘چنا
53, بُھوک گَئے بھوجَن مِلے جاڑا جات گَئے قَبائی جوبَن گَئے تُریا مِلے تِینوں دیِوبَہائی بَہائے کہاوت
54, بات اُڑانا
55, بات اُڑْنا
56, بھر ہاتھ
57, بات اُلَٹْنا
58, بات اُوپَراُوپَر جانا
59, بَھر لاحقہ
60, بِھر
61, بِھر ہونا
62, اِجتِماع کرنا
63, اُجَڈ پَن پَنا امذ
64, بات اَورپَر ڈھالْنا
65, بات اُون٘چی ہونا
66, بات آبَنْنا
67, بات آپَڑْنا آنْ پَڑْنا محاورہ
68, بات آرَہْنا
69, بات آگے آنا
70, بات آنا
71, بات آن٘چَل میں بان٘دھنا
72, بات آئی گَئی ہونا
73, بُھر بُھرانا
74, بات بات
75, بات بات پَر پَہ م ف
76, بات بات میں
77, بات بات میں چُھری کَٹاری
78, بات بات میں موتی پِرونا
79, بات باقی رَہْنا
80, بات بالا رَکْھنا
81, شُدَہ کَرْنا محاورہف
82, شُدَہ ہونا محاورہف
83, بات بالا رَہْنا
84, بات بالا ہونا
85, بات بان٘دھنا
86, بات بَتانا
87, بات بَٹْنا
88, بات بَدْلانا
89, بات بَدَلْنا
90, بات بَڑِی رَہْنا
91, بات بَڑی ہونا
92, بات بَڑھانا
93, بات بَڑْھنا
94, بات بِگاڑْنا
95, بات بِگڑْنا
96, بات بَنا لینا
97, بات بَنانا
98, بات بَن آنا
99, بات بَن پَڑْنا
0, بات بَنْنا
1, بات بَن نَہ آنا
2, بات بول ہونا
3, بات بولْنا
4, بات بَہَکْنا
5, بات بَہْلانا
6, بات بے بات
7, آرْیَہ
8, بات بَیٹْھنا
9, بات بِیچ میں سے لینا
10, بات بھار پڑنا
11, بات بھاری لَگْنا
12, بات بھاری ہونا
13, بات بھی نَہ پُوچھنا
14, بات پانا
15, بات پَتَّھر کی لَکِیر ہونا
16, آجڑا پَن پَنا امذ
17, آنکھوں
18, آجالا ڈالنا
19, ٓآجالی لینا
20, اَگَن گِیر
21, اَلَگ کَرنا
22, اَجّان اجان پَنا قدیمامذ
23, اُجْلا پَن
24, اَجْلاف پَن
25, اَگّیان پَن
26, بات پَر بات کَہْنا
27, بات پَر بات یاد آنا
28, بات پَر بُھلانا
29, بات پَر ٹَھہَرْنا
30, کَرنا
31, بات پَر جانا
32, بات پَر جان دینا
33, بات پَر جَمْنا
34, بات پَر چَلْنا
35, بات پَر خاک پَڑْنا
36, بات پَر خاک ڈالْنا
37, بات پَر سَر دینا
38, بات پَر قائِم رَہْنا
39, بات پَر قِیام ہونا
40, بات پَر کان دَھرْنا رَکْھنا لَگانا محاورہ
41, بات پَر لَگْنا
42, بات پَرمِٹْنا مَرمِٹْنا محاورہ
43, بات پَر مَرْنا
44, بات پَرائی ہونا
45, بات پَڑْنا
46, بات پَکانا
47, بات پَکَڑْنا
48, بات پَکْنا
49, بات پَکّی ہونا
50, بات پَلَٹْنا
51, بات پَلّے بَان٘دھْنا
52, بات پُوچْھنا
53, بات پُوچھے بات کا لَچَّھن پُوچھے
54, بات پُوچْھنا بات کی جَڑ پُوچْھنا
55, بات پُوری کَرْنا
56, بات پُوری ہونا
57, بات پَہ آنا
58, بات پَہُن٘چْنا
59, بات پیٹ میں ہَضْم کَرْنا
60, بات پی جانا پِینا محاورہ
61, بات پَیْدا کَرْنا
62, بات پَیْدا ہونا
63, اَباغ خانَہ
64, ٹوہ لگانا
65, آور اَور
66, اَور کے دان٘و اَنڈ٘ے بَچّے ہَمارے دانَوکُڑَک
67, اَلا بَلا لینا
68, اُصُول پَرَسْت
69, چِیکَٹ
70, بات پیش جانا
71, بات پُھٹْنا
72, بات پِھرانا
73, بات پُھوٹْنا
74, بات پھیرنا
75, بات پِھیکی پَڑْنا
76, بات پَھیلانا
77, بات پَھیلْنا
78, بات پھین٘کْنا
79, بات تاڑْنا
80, بات تَجْوِیز کَرْنا
81, بات تَراشْنا
82, بات تَک نَہ پُوچْھنا
83, بات تَک نَہ کَرْنا
84, بات توڑْنا
85, بات تولْنا
86, بات تو یہ ہے
87, بات تے جُدا ہونا
88, بات تِیر لَگْنا
89, بات تَھل کی نَہ بیڑے کی مقولہ
90, مُسْتَعِد کَرْنا
91, بات ٹالْنا
92, بات ٹلْنا
93, بات ٹُوٹْنا
94, بات ٹھانْنا
95, بات ٹَھنْڈی پَڑْنا
96, بات ٹھنْنا
97, بات ٹَھہرانا
98, بات ٹَھَہرْنا
99, بات ٹھیلْنا
100, بات جا پَڑْنا
101, بات جانا
102, بات جَبْ ہَے
103, بات جَتانا
104, بات جَڑْنا
105, بات جَمانا
106, بات جَمْنا
107, بات جَنانا
108, بات جو چاہے اپْنی پانی مان٘گ نَہ پی
109, بات جوڑْنا
110, بات جُوں تُوں کی کَرْنا
111, بات جی سے گَڑْھنا گَھڑْنا محاورہ
112, بات جی کو لَگْنا
113, بات جی میں بَیٹْھنا
114, بات جی میں پِھرْنا
115, بَھرائی
116, بات جی میں ڈالْنا
117, بات جی میں گَڑْنا
118, بات جی میں نَہ رَہْنا
119, بات جُھٹالْنا
120, بات جَھن٘ڈے پَر چَڑھانا
121, بات جُھوٹی پَڑْنا
122, بات چَبا جانا
123, بات چَبا چَبا کَر کَرْنا
124, بات چَبا کَر کَہْنا
125, بات چَبانا
126, بات چِبِلّی ہے
127, بات چِپَک کے رَہ جانا چِپَکْنا محاورہ
128, بات چُٹْکِیوں میں اْڑانا
129, بات چُرا کے کَہْنا
130, بات چَلانا
131, بات چَل پَڑْنا
132, بات چَلْنا
133, بات چَلْنے نَہ دینا
134, بات چَلی جانا
135, بات چَلی جانا
136, بات چَن٘درا کے کَرنا کَہنا محاورہ
137, چھوپا مارنا
138, بات چَن٘درانا
139, بات چِیت
140, بات چِیت کُھٹ ہونا
141, بات چِھڑْنا
142, بات چَھنْنا
143, بات چُھوٹنا
144, بات چھوٹی کرنا
145, رَکْھنا رَہْنا
146, رَکْھنا لَگانا
147, چین٘د چین٘دھ ہونا
148, بات چھیڑنا
149, بات چِھیلے رُکْھڑی کاٹْھ چِھیلے چِکنا
150, بات حَلْق سے نِیچے اُترنا
151, بات خالی جانا
152, بات خَتْم ہونا
153, اِسْتِقْرار حَق
154, اُلُّو بَنانا
155, اُلُّو بَنْنا
156, اُلُّو پَن پَنا امذ
157, بات پَکّی کَرْنا
158, اُلُو مذ
159, بات دینا
160, اُلُّوسِیدھا ہونا ہونا
161, بات رَکْھنا
162, بات رَکھ لینا
163, اُصُول لینا
164, اِسْتِنْقاع
165, اِسْتِوا کَرْنا
166, اپنی جَمانا
167, اپنی سی
168, اپنی سی
169, پَرَسْت
170, اِسْٹار
171, لانا
172, خانَہ
173, دار داری
174, اِسْتیج کَرْنا
175, اِسْتیج ہونا
176, چُوا پَڑْنا
177, بَنانا
178, کَرْنا
179, ہونا
180, آنا پَٹ
181, آنا ہونا
182, اُسْرا
183, اَچُھوت پَن
184, چھاجا چھا جائِیل چھا جایِل صف
185, چھاچْھیا چھاچْھیَہ کھار امث
186, اِسْتِخارَہ آنا
187, اَسْرار کَرْنا
188, اَسْفَل سافِلِین
189, اِسْفَنْجْ کَرْنا
190, اَبْدال
191, اِسْکات
192, اَبْر اُٹْھنا
193, اِسْکِرِپْٹ
194, اَبْر اُمَن٘ڈنا
195, اِسْکَرْٹ
196, اُسْکُرُجہَّ
197, اَبْر ِ آذار
198, اِسکُرُو
199, اَبْر ِ آذاری
200, اِسکُرُو ڈِرائِیوَر
201, اِسْکِرِین
202, اَبْر ِ آذَری
203, اِسْکِرینِنْگ
